iter	Passed	Remaining
1128	51553	14246
1129	51600	14201
1130	51646	14155
1131	51691	14110
1132	51737	14064
1133	51786	14019
1134	51834	13974
1135	51880	13929
1136	51925	13883
1137	51971	13837
1138	52016	13791
1139	52062	13746
1140	52108	13700
1141	52155	13655
1142	52201	13609
1143	52246	13564
1144	52291	13518
1145	52337	13472
1146	52383	13426
1147	52428	13381
1148	52472	13335
1149	52518	13289
1150	52563	13243
1151	52608	13197
1152	52654	13152
1153	52699	13106
1154	52743	13060
1155	52789	13014
1156	52833	12968
1157	52876	12922
1158	52922	12876
1159	52966	12830
1160	53011	12784
1161	53057	12739
1162	53102	12693
1163	53146	12647
1164	53192	12601
1165	53239	12556
1166	53284	12510
1167	53330	12465
1168	53375	12419
1169	53422	12373
1170	53469	12328
1171	53515	12282
1172	53561	12237
1173	53606	12191
1174	53653	12146
1175	53696	12100
1176	53743	12054
1177	53789	12008
1178	53835	11963
1179	53884	11918
1180	53928	11872
1181	53973	11826
1182	54018	11780
1183	54066	11735
1184	54113	11690
1185	54159	11644
1186	54204	11598
1187	54251	11553
1188	54297	11507
1189	54342	11462
1190	54390	11416
1191	54435	11371
1192	54481	11325
1193	54526	11279
1194	54572	11234
1195	54618	11188
1196	54665	11143
1197	54710	11097
1198	54755	11051
1199	54800	11005
1200	54847	10960
1201	54892	10914
1202	54937	10868
1203	54982	10822
1204	55027	10777
1205	55072	10731
1206	55116	10685
1207	55162	10639
1208	55206	10593
1209	55253	10548
1210	55297	10502
1211	55343	10456
1212	55388	10411
1213	55435	10365
1214	55481	10320
1215	55527	10274
1216	55574	10229
1217	55619	10183
1218	55665	10137
1219	55710	10091
1220	55756	10046
1221	55803	10000
1222	55849	9955
1223	55898	9910
1224	55944	9864
1225	55990	9818
1226	56036	9773
1227	56081	9727
1228	56127	9681
1229	56173	9636
1230	56218	9590
1231	56264	9544
1232	56308	9498
1233	56355	9453
1234	56400	9407
1235	56444	9361
1236	56490	9316
1237	56536	9270
1238	56582	9224
1239	56627	9179
1240	56673	9133
1241	56719	9087
1242	56764	9042
1243	56810	8996
1244	56856	8950
1245	56901	8905
1246	56945	8859
1247	56990	8813
1248	57037	8767
1249	57082	8722
1250	57127	8676
1251	57172	8630
1252	57217	8584
1253	57262	8539
1254	57307	8493
1255	57352	8447
1256	57397	8401
1257	57443	8356
1258	57488	8310
1259	57535	8264
1260	57579	8219
1261	57623	8173
1262	57669	8127
1263	57715	8081
1264	57760	8036
1265	57805	7990
1266	57850	7944
1267	57895	7899
1268	57944	7853
1269	57989	7808
1270	58036	7762
1271	58081	7716
1272	58126	7671
1273	58172	7625
1274	58217	7579
1275	58263	7534
1276	58309	7488
1277	58354	7442
